Cod_setor,Situacao_setor,V001,V109,V110
250010605000001,1,436,0,MULHER
250010605000002,1,148,0,MULHER
250010605000003,1,295,0,MULHER
250010605000004,8,217,0,MULHER
250010605000005,5,199,0,MULHER
250010605000006,8,157,2,MULHER
250010605000007,8,98,0,MULHER
250010605000008,8,131,0,MULHER
250010605000009,8,181,7,MULHER
250010605000010,8,144,0,MULHER
250010605000011,1,330,0,MULHER
250010605000012,5,49,0,MULHER
250010605000013,5,38,0,MULHER
250010605000014,8,139,0,MULHER
250020505000001,1,314,56,MULHER
250020505000002,1,236,108,MULHER
250020505000003,8,101,0,MULHER
250020505000004,8,85,0,MULHER
250020505000005,8,35,0,MULHER
250020505000006,8,152,0,MULHER
250020505000007,8,125,0,MULHER
250020505000008,8,59,0,MULHER
250020505000009,8,229,0,MULHER
250020505000010,8,10,0,MULHER
250020505000011,1,314,1,MULHER
250030405000001,1,236,3,MULHER
250030405000002,1,345,24,MULHER
250030405000003,1,294,27,MULHER
250030405000004,1,134,0,MULHER
250030405000005,1,178,0,MULHER
250030405000006,1,155,5,MULHER
250030405000007,1,202,0,MULHER
250030405000008,1,241,0,MULHER
250030405000009,1,321,2,MULHER
250030405000010,1,367,337,MULHER
250030405000011,1,134,0,MULHER
250030405000012,1,187,0,MULHER
250030405000013,1,162,0,MULHER
250030405000014,1,71,0,MULHER
250030405000015,1,327,146,MULHER
250030405000016,8,290,0,MULHER
250030405000017,8,32,0,MULHER
250030405000018,5,374,0,MULHER
250030405000019,5,145,0,MULHER
250030405000020,8,102,0,MULHER
250030405000021,8,91,0,MULHER
250030405000022,8,61,3,MULHER
250030405000023,8,64,0,MULHER
250030405000024,8,6,0,MULHER
250030405000025,8,113,0,MULHER
250030405000026,8,8,0,MULHER
250030405000027,8,74,0,MULHER
250030405000028,8,189,0,MULHER
250030405000029,8,148,2,MULHER
250030405000030,5,295,0,MULHER
250030405000031,5,342,0,MULHER
250030405000032,8,103,0,MULHER
250030405000033,8,79,0,MULHER
250030405000034,8,95,3,MULHER
250030405000035,8,69,6,MULHER
250030405000036,8,197,0,MULHER
250030405000037,1,182,0,MULHER
250030405000038,1,205,65,MULHER
250030405000039,1,208,0,MULHER
