Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;V013;V014;V015;V016;V017;V018;V019;V020;V021;V022;V023;V024;V025;V026;V027;V028;V029;V030;V031;V032;V033;V034;V035;V036;V037;V038;V039;V040;V041;V042;V043;V044;V045;V046;V047;V048;V049;V050;V051;V052;V053;V054;V055;V056;V057;V058;V059;V060;V061;V062;V063;V064;V065;V066;V067;V068;V069;V070;V071;V072;V073;V074;V075;V076;V077;V078;V079;V080;V081;V082;V083;V084;V085;V086;V087;V088;V089;V090;V091;V092;V093;V094;V095;V096;V097;V098;V099;V100;V101;V102;V103;V104;V105;V106;V107;V108
250010605000001;1;157;0;0;0;0;0;0;0;0;1;0;0;0;2;2;2;2;1;0;3;1;2;4;2;4;4;5;3;2;0;0;2;4;6;3;6;1;3;4;2;1;5;0;4;2;3;3;4;0;0;2;1;6;5;4;3;3;0;3;1;1;4;3;2;8;5;2;1;4;1;0;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;85;0;1;6;7;14;9;14;4;7;3;8;2;7;3;0
250010605000002;1;59;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;2;0;1;1;0;1;1;2;0;1;0;3;4;3;1;1;1;1;5;0;1;1;1;1;0;0;0;1;0;0;1;0;2;1;0;4;1;2;2;0;0;1;2;0;0;2;2;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;38;0;0;0;3;3;5;5;5;7;2;2;3;1;2;0
250010605000003;1;139;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;4;2;1;5;1;1;0;1;2;3;2;1;2;0;0;2;5;1;2;1;3;3;0;2;1;3;2;2;1;5;6;4;5;0;0;3;0;5;0;1;2;2;2;0;4;7;2;2;2;3;1;3;5;2;2;1;4;3;4;1;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;106;0;0;1;13;7;5;10;8;9;11;6;7;14;6;9
250010605000004;8;44;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;2;0;0;0;1;0;0;1;1;0;0;1;1;2;0;1;0;1;0;0;0;2;2;2;0;0;1;0;0;2;1;0;0;2;2;2;3;1;1;2;1;0;0;2;2;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;0;0;3;2;1;1;2;1;0;1;4;1;3;0;0
250010605000005;5;97;0;0;0;0;0;0;0;1;0;0;3;1;1;1;3;1;1;2;0;6;0;1;0;5;3;1;2;0;1;1;3;1;1;1;0;3;0;4;6;4;1;1;0;2;3;0;2;2;3;2;0;1;1;3;3;0;1;1;2;2;2;0;0;2;0;0;1;1;0;0;0;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;55;0;1;9;9;7;4;4;9;3;3;2;1;1;0;2
250010605000006;8;88;0;0;0;0;0;0;1;1;0;1;1;0;2;3;2;3;3;1;1;1;0;1;1;3;2;3;4;4;0;1;2;1;1;0;2;3;2;2;0;2;2;3;1;0;1;1;2;2;0;0;1;1;1;0;0;0;1;1;2;0;2;0;3;1;1;0;2;0;0;0;0;2;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;53;0;3;8;8;5;9;4;6;4;1;2;1;1;0;1
250010605000007;8;31;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;1;1;0;1;0;0;0;1;0;0;0;1;1;1;2;1;0;0;0;0;3;1;1;0;0;0;0;1;0;2;0;1;0;1;0;0;0;0;2;0;0;0;1;0;0;0;2;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;0;0;1;0;2;1;2;4;3;1;2;1;1;0;1
250010605000008;8;30;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;1;1;1;1;0;0;0;0;0;1;0;1;1;0;1;0;1;0;3;1;0;0;1;1;1;1;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;2;0;2;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;1;0;1;1;3;1;3;0;3;1;0;0;2;0;2
250010605000009;8;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;1;0;2;0;1;0;0;0;1;1;2;0;1;0;1;1;2;1;0;1;0;0;0;0;1;2;1;2;1;0;0;0;0;2;0;0;0;1;2;2;1;0;0;1;1;1;1;0;2;0;2;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;28;0;0;0;4;3;2;3;3;1;3;0;5;0;1;3
250010605000010;8;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;1;0;1;0;0;2;0;2;1;0;1;1;1;1;0;0;0;0;1;0;2;1;1;1;1;1;1;0;0;1;1;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;1;0;2;3;2;1;1;0;1;0;0;0
250010605000011;1;117;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;3;3;2;3;4;0;2;3;3;1;2;2;1;3;2;6;4;2;3;4;2;5;1;2;2;2;2;1;5;0;0;1;2;2;0;0;1;0;4;1;2;3;2;3;0;3;4;3;1;0;2;0;1;0;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;99;0;0;3;15;9;8;17;8;7;4;5;9;9;3;2
250010605000012;5;13;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;1;0;0;2;1;2;1;0;0;1;1;0;1;0
250010605000013;5;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;3;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;2;0;0;1;3;0;1;0;0;1;0;0
250010605000014;8;38;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;1;0;0;1;1;2;0;0;1;2;1;1;1;0;2;0;2;0;3;0;1;0;1;1;2;1;0;0;0;1;1;1;0;2;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;1;1;1;3;3;0;2;2;1;1;0;0;0;0
250020505000001;1;120;0;0;1;0;0;0;1;0;0;0;0;0;0;1;1;0;1;0;1;0;2;3;0;2;0;2;0;6;3;2;2;4;1;4;1;4;3;5;0;3;2;1;0;3;1;1;0;5;3;0;0;1;5;0;3;0;2;0;5;3;2;4;1;4;3;0;2;0;4;2;1;1;1;0;0;2;2;2;0;0;0;0;0;0;1;0;0;0;0;0;0;85;0;1;2;2;5;12;9;13;5;7;7;6;6;6;4
250020505000002;1;83;0;0;1;0;0;0;0;0;0;2;0;1;1;2;0;1;0;0;0;1;1;2;1;0;0;1;1;0;1;1;0;0;1;2;1;0;2;1;2;1;2;1;3;2;4;2;1;3;1;3;2;2;3;2;3;1;0;3;6;1;0;0;0;2;0;1;0;2;1;0;0;1;0;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41;1;2;3;2;4;3;1;5;9;4;4;1;1;0;1
250020505000003;8;21;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;2;2;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;2;1;1;0;0;1;1;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;1;0;0;1;1;1;0;1;0;0;0;0;0
250020505000004;8;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;1;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;1;0;1;2
250020505000005;8;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
